TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000001,20001,2026-02-14,2026-02-17,JPY,116185.48,0.00,Commission expense,REF12277954-1,manyToOne
LDG00000002,20001,2026-02-14,2026-02-17,JPY,119200.62,0.00,Intercompany transfer out,REF12277954-2,manyToOne
LDG00000003,30001,2026-02-19,2026-02-20,USD,10500.05,0.00,Bond redemption,REF81278039-1,manyToOne
LDG00000004,30001,2026-02-19,2026-02-20,USD,13208.04,0.00,Cheque payment,REF81278039-2,manyToOne
LDG00000005,20001,2026-02-19,2026-02-20,CAD,0.00,115197.77,Customer payment received,REF16027444-1,manyToOne
LDG00000006,20001,2026-02-19,2026-02-20,CAD,0.00,87023.25,Loan drawdown,REF16027444-2,manyToOne
LDG00000007,20001,2026-02-17,2026-02-17,EUR,231964.02,0.00,Loan repayment,REF62979008-1,manyToOne
LDG00000008,20001,2026-02-17,2026-02-17,EUR,223563.99,0.00,FX contract payment,REF62979008-2,manyToOne
LDG00000009,50001,2026-02-01,2026-02-02,CHF,0.00,3101.68,SEPA credit transfer,REF57901105-1,manyToOne
LDG00000010,50001,2026-02-01,2026-02-02,CHF,0.00,2387.61,Trade settlement receipt,REF57901105-2,manyToOne
LDG00000011,10001,2026-01-21,2026-01-21,AUD,58365.12,0.00,Interest expense,REF76882160-1,manyToOne
LDG00000012,10001,2026-01-21,2026-01-21,AUD,39445.65,0.00,FX contract payment,REF76882160-2,manyToOne
LDG00000013,10001,2026-01-23,2026-01-27,GBP,181136.68,0.00,Service fee payment,REF49865476-1,manyToOne
LDG00000014,10001,2026-01-23,2026-01-27,GBP,137331.31,0.00,Insurance premium payment,REF49865476-2,manyToOne
LDG00000015,70001,2026-03-22,2026-03-23,CHF,0.00,131060.74,Loan drawdown,REF46728908-1,manyToOne
LDG00000016,70001,2026-03-22,2026-03-23,CHF,0.00,129373.84,Payroll funding,REF46728908-2,manyToOne
LDG00000017,20002,2026-03-05,2026-03-09,CAD,95738.85,0.00,Wire transfer outbound,REF70000830-1,manyToOne
LDG00000018,20002,2026-03-05,2026-03-09,CAD,64133.49,0.00,Invoice payment to vendor,REF70000830-2,manyToOne
LDG00000019,60001,2026-03-17,2026-03-17,EUR,161547.94,0.00,Bond redemption,REF96568875-1,manyToOne
LDG00000020,60001,2026-03-17,2026-03-17,EUR,110955.88,0.00,Trade settlement payment,REF96568875-2,manyToOne
LDG00000021,60001,2026-03-11,2026-03-12,GBP,0.00,28991.38,ACH credit settlement,REF96877342-1,manyToOne
LDG00000022,60001,2026-03-11,2026-03-12,GBP,0.00,24337.16,Dividend income,REF96877342-2,manyToOne
LDG00000023,70001,2026-02-01,2026-02-03,USD,0.00,171217.44,Trade settlement receipt,REF50928386-1,manyToOne
LDG00000024,70001,2026-02-01,2026-02-03,USD,0.00,181371.26,Bond coupon payment,REF50928386-2,manyToOne
LDG00000025,50001,2026-01-14,2026-01-15,AUD,192892.56,0.00,Intercompany transfer out,REF26954331-1,manyToOne
LDG00000026,50001,2026-01-14,2026-01-15,AUD,190460.29,0.00,Invoice payment to vendor,REF26954331-2,manyToOne
LDG00000027,20001,2026-02-15,2026-02-15,GBP,0.00,42298.19,Payroll funding,REF44678511-1,manyToOne
LDG00000028,20001,2026-02-15,2026-02-15,GBP,0.00,35180.27,Equity sale proceeds,REF44678511-2,manyToOne
LDG00000029,10001,2026-03-12,2026-03-12,EUR,144435.79,0.00,Interest expense,REF11355844-1,manyToOne
LDG00000030,10001,2026-03-12,2026-03-12,EUR,204878.91,0.00,Loan repayment,REF11355844-2,manyToOne
LDG00000031,70001,2026-01-03,2026-01-05,CAD,0.00,215967.32,Commission income,REF89378260-1,manyToOne
LDG00000032,70001,2026-01-03,2026-01-05,CAD,0.00,205927.97,Equity sale proceeds,REF89378260-2,manyToOne
LDG00000033,20002,2026-02-09,2026-02-10,CHF,0.00,88992.79,ACH credit settlement,REF71974227-1,manyToOne
LDG00000034,20002,2026-02-09,2026-02-10,CHF,0.00,107668.81,Payroll funding,REF71974227-2,manyToOne
LDG00000035,10001,2026-01-08,2026-01-12,CAD,153641.10,0.00,Tax remittance,REF38477570-1,manyToOne
LDG00000036,10001,2026-01-08,2026-01-12,CAD,217086.75,0.00,Tax remittance,REF38477570-2,manyToOne
LDG00000037,40001,2026-03-17,2026-03-19,JPY,0.00,99788.18,Dividend income,REF65264841-1,manyToOne
LDG00000038,40001,2026-03-17,2026-03-19,JPY,0.00,100036.55,Invoice payment INV-6434,REF65264841-2,manyToOne
LDG00000039,30001,2026-02-06,2026-02-09,CAD,0.00,47295.85,Dividend income,REF94616019-1,manyToOne
LDG00000040,30001,2026-02-06,2026-02-09,CAD,0.00,35142.02,Refund received,REF94616019-2,manyToOne
LDG00000041,40001,2026-03-20,2026-03-20,EUR,0.00,158847.40,Interest credit,REF34389640-1,manyToOne
LDG00000042,40001,2026-03-20,2026-03-20,EUR,0.00,155473.52,Interest credit,REF34389640-2,manyToOne
LDG00000043,40002,2026-03-19,2026-03-23,USD,89339.92,0.00,Rent payment,REF59679953-1,manyToOne
LDG00000044,40002,2026-03-19,2026-03-23,USD,110624.16,0.00,Insurance premium payment,REF59679953-2,manyToOne
LDG00000045,10002,2026-01-26,2026-01-28,USD,0.00,165689.33,SEPA credit transfer,REF48809813-1,manyToOne
LDG00000046,10002,2026-01-26,2026-01-28,USD,0.00,133813.39,Payroll funding,REF48809813-2,manyToOne
LDG00000047,40002,2026-03-13,2026-03-17,GBP,13200.09,0.00,Service fee payment,REF43483587-1,manyToOne
LDG00000048,40002,2026-03-13,2026-03-17,GBP,14768.50,0.00,Bond redemption,REF43483587-2,manyToOne
