TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000001,10001,2026-03-24,2026-03-25,GBP,122306.54,0.00,Loan repayment,REF65070644,perfect
LDG00000002,10001,2026-03-03,2026-03-03,GBP,0.00,113173.00,Dividend income,REF89613034,perfect
LDG00000003,50001,2026-02-27,2026-03-02,EUR,35885.94,0.00,Loan repayment,REF76438196,perfect
LDG00000004,10002,2026-03-26,2026-03-27,CAD,0.00,348445.57,Customer advance payment,REF29675408,perfect
LDG00000005,10001,2026-02-04,2026-02-05,CHF,0.00,452797.88,Sales proceeds,REF25747368,perfect
LDG00000006,20001,2026-01-25,2026-01-26,USD,386643.53,0.00,Bond redemption,REF12804794,perfect
LDG00000007,10001,2026-01-20,2026-01-20,EUR,0.00,142546.35,Commission income,REF18845383,perfect
LDG00000008,30001,2026-02-21,2026-02-21,EUR,213081.04,0.00,Invoice payment to vendor,REF44423546,perfect
LDG00000009,60001,2026-02-26,2026-03-02,CAD,0.00,43652.84,ACH credit settlement,REF32257078,perfect
LDG00000010,20001,2026-01-03,2026-01-03,AUD,219438.26,0.00,Rent payment,REF20862716,perfect
LDG00000011,60001,2026-01-15,2026-01-16,AUD,0.00,39317.54,Trade settlement receipt,REF54897838,perfect
LDG00000012,30001,2026-01-24,2026-01-26,CAD,0.00,96538.63,Intercompany transfer in,REF91372396,perfect
LDG00000013,10001,2026-03-18,2026-03-19,GBP,429022.12,0.00,Bond redemption,REF59729550,perfect
LDG00000014,20001,2026-03-01,2026-03-01,CHF,234586.74,0.00,Interest expense,REF60494508,perfect
LDG00000015,40002,2026-02-28,2026-03-02,CHF,411806.51,0.00,Cheque payment,REF47972525,perfect
LDG00000016,10002,2026-02-22,2026-02-22,CAD,0.00,96366.16,Commission income,REF45666267,perfect
LDG00000017,10002,2026-02-19,2026-02-20,JPY,145188.61,0.00,Invoice payment to vendor,REF97221555,perfect
LDG00000018,10001,2026-03-06,2026-03-09,JPY,0.00,359498.98,Dividend income,REF31101438,perfect
LDG00000019,10002,2026-03-07,2026-03-10,GBP,498744.75,0.00,Supplier payment,REF32032649,perfect
LDG00000020,60001,2026-03-05,2026-03-09,CAD,215608.84,0.00,Rent payment,REF64348636,perfect
LDG00000021,40001,2026-03-29,2026-03-31,JPY,0.00,198738.19,Deposit received,REF48904906,perfect
LDG00000022,70001,2026-01-05,2026-01-07,GBP,0.00,132354.33,Refund received,REF27101444,perfect
LDG00000023,20001,2026-01-11,2026-01-11,CHF,0.00,386598.26,Commission income,REF13781531,perfect
LDG00000024,10001,2026-03-09,2026-03-09,USD,0.00,490029.40,Interest credit,REF91714598,perfect
LDG00000025,40001,2026-01-27,2026-01-27,JPY,350304.22,0.00,Trade settlement payment,REF29403222,perfect
LDG00000026,70001,2026-01-19,2026-01-20,AUD,244973.51,0.00,Supplier payment,REF96036877,perfect
LDG00000027,50001,2026-03-09,2026-03-10,AUD,198026.51,0.00,Cheque payment,REF23953417,perfect
LDG00000028,70001,2026-03-25,2026-03-25,CAD,279696.08,0.00,Intercompany transfer out,REF39312691,perfect
LDG00000029,40002,2026-03-20,2026-03-24,EUR,0.00,406890.16,Dividend income,REF85475911,perfect
LDG00000030,20002,2026-03-29,2026-03-30,CHF,265583.07,0.00,SEPA direct debit,REF85847916,perfect
LDG00000031,60001,2026-02-01,2026-02-01,USD,473481.20,0.00,Tax remittance,REF63543241,perfect
LDG00000032,40001,2026-03-08,2026-03-09,AUD,0.00,63989.34,Bond coupon payment,REF18091547,perfect
LDG00000033,40002,2026-02-01,2026-02-01,AUD,57179.14,0.00,Wire transfer outbound,REF59101506,perfect
LDG00000034,40001,2026-03-11,2026-03-11,AUD,309831.14,0.00,Intercompany transfer out,REF18042227,perfect
LDG00000035,40001,2026-02-06,2026-02-10,EUR,218862.28,0.00,Intercompany transfer out,REF71745575,perfect
LDG00000036,30001,2026-01-13,2026-01-15,CHF,0.00,222728.39,Deposit received,REF29505028,perfect
LDG00000037,70001,2026-03-29,2026-03-29,EUR,199821.89,0.00,Utility payment,REF13328013,perfect
LDG00000038,20002,2026-02-25,2026-02-26,CHF,0.00,31436.47,Grant proceeds,REF96031990,perfect
LDG00000039,40001,2026-02-18,2026-02-19,CAD,483908.18,0.00,Intercompany transfer out,REF23659672,perfect
LDG00000040,10001,2026-01-26,2026-01-26,CAD,402088.34,0.00,ACH debit settlement,REF49723714,perfect
LDG00000041,40001,2026-02-01,2026-02-03,USD,446360.58,0.00,Bond redemption,REF24814814,perfect
LDG00000042,10002,2026-02-23,2026-02-23,GBP,423151.91,0.00,Rent payment,REF57960080,perfect
LDG00000043,40001,2026-03-30,2026-03-31,USD,0.00,461701.63,Loan drawdown,REF87958455,perfect
LDG00000044,60001,2026-01-20,2026-01-20,CHF,0.00,137698.20,Interest credit,REF71783570,perfect
LDG00000045,10002,2026-01-20,2026-01-21,CAD,213823.06,0.00,Interest expense,REF42652361,perfect
LDG00000046,40002,2026-03-22,2026-03-23,CAD,153261.94,0.00,Invoice payment to vendor,REF45034681,perfect
LDG00000047,40002,2026-02-25,2026-02-26,USD,461513.61,0.00,Supplier payment,REF51923888,perfect
LDG00000048,50001,2026-02-13,2026-02-17,CAD,422750.11,0.00,Utility payment,REF78402203,perfect
LDG00000049,40001,2026-03-07,2026-03-07,USD,0.00,371986.68,FX contract settlement,REF77428986,perfect
LDG00000050,40002,2026-03-03,2026-03-03,EUR,488181.03,0.00,Interest expense,REF52378723,perfect
LDG00000051,70001,2026-03-10,2026-03-12,GBP,333212.54,0.00,Bond redemption,REF22390412,perfect
LDG00000052,70001,2026-01-10,2026-01-13,JPY,0.00,132998.29,Commission income,REF33571094,perfect
LDG00000053,40001,2026-02-08,2026-02-09,EUR,0.00,109690.09,Interest credit,REF24953066,perfect
LDG00000054,10002,2026-02-05,2026-02-06,JPY,0.00,429158.60,Customer payment received,REF51764602,perfect
LDG00000055,10002,2026-03-20,2026-03-23,EUR,383790.71,0.00,SEPA direct debit,REF21635206,perfect
LDG00000056,10001,2026-03-05,2026-03-05,JPY,145288.03,0.00,Payroll disbursement,REF54082912,perfect
LDG00000057,10002,2026-03-05,2026-03-05,CHF,0.00,460031.30,Intercompany transfer in,REF67682772,perfect
LDG00000058,20002,2026-01-17,2026-01-19,USD,497230.68,0.00,Interest expense,REF51896736,perfect
LDG00000059,70001,2026-03-04,2026-03-05,EUR,484774.60,0.00,Rent payment,REF91171926,perfect
LDG00000060,10001,2026-01-23,2026-01-27,CAD,0.00,122606.91,Intercompany transfer in,REF32611460,perfect
LDG00000061,20002,2026-01-27,2026-01-29,CAD,27191.05,0.00,Interest expense,REF40546519,perfect
LDG00000062,70001,2026-02-08,2026-02-08,GBP,28598.04,0.00,ACH debit settlement,REF88727846,perfect
LDG00000063,50001,2026-03-07,2026-03-10,EUR,324982.02,0.00,Commission expense,REF57363150,perfect
LDG00000064,10001,2026-01-07,2026-01-09,CAD,0.00,33202.69,Dividend income,REF64464289,perfect
LDG00000065,70001,2026-03-14,2026-03-17,EUR,0.00,2494.35,Payroll funding,REF26058663,perfect
LDG00000066,40001,2026-03-23,2026-03-23,JPY,0.00,392834.05,Customer advance payment,REF42480939,perfect
LDG00000067,70001,2026-02-11,2026-02-12,AUD,0.00,433680.78,Customer advance payment,REF10713997,perfect
LDG00000068,10001,2026-03-13,2026-03-16,USD,0.00,334846.15,Bond coupon payment,REF13462910,perfect
LDG00000069,50001,2026-03-18,2026-03-19,JPY,461635.00,0.00,Tax remittance,REF64649430,perfect
LDG00000070,20001,2026-03-19,2026-03-20,CAD,234125.44,0.00,Supplier payment,REF83593288,perfect
LDG00000071,30001,2026-03-24,2026-03-26,JPY,0.00,461184.09,SEPA credit transfer,REF30532879,perfect
LDG00000072,30001,2026-02-23,2026-02-23,JPY,32117.11,0.00,Service fee payment,REF26132435,perfect
LDG00000073,20001,2026-02-27,2026-03-02,USD,253113.36,0.00,Utility payment,REF48903328,perfect
LDG00000074,70001,2026-01-06,2026-01-06,AUD,453865.03,0.00,Commission expense,REF11402266,perfect
LDG00000075,40001,2026-01-01,2026-01-01,AUD,0.00,192822.04,Wire transfer inbound,REF84906783,perfect
LDG00000076,40002,2026-03-13,2026-03-13,AUD,381424.41,0.00,ACH debit settlement,REF67257037,perfect
LDG00000077,30001,2026-01-18,2026-01-18,EUR,0.00,385328.04,Customer payment received,REF51462729,perfect
LDG00000078,10001,2026-03-03,2026-03-03,JPY,0.00,172888.15,Wire transfer inbound,REF56450242,perfect
LDG00000079,40001,2026-01-23,2026-01-27,CHF,262445.35,0.00,Bond redemption,REF21952178,perfect
LDG00000080,70001,2026-03-06,2026-03-06,EUR,27151.84,0.00,Tax remittance,REF52538512,perfect
LDG00000081,20002,2026-01-25,2026-01-25,EUR,164462.25,0.00,Wire transfer outbound,REF95171559,perfect
LDG00000082,20002,2026-03-09,2026-03-09,AUD,186543.14,0.00,Insurance premium payment,REF81992184,perfect
LDG00000083,10002,2026-03-19,2026-03-23,EUR,0.00,346808.71,Intercompany transfer in,REF78082737,perfect
LDG00000084,20002,2026-03-01,2026-03-02,JPY,377010.83,0.00,Supplier payment,REF11968904,perfect
LDG00000085,60001,2026-02-24,2026-02-25,CHF,0.00,114623.14,Commission income,REF29527126,perfect
LDG00000086,60001,2026-01-01,2026-01-05,CAD,0.00,475300.25,Intercompany transfer in,REF38285666,perfect
LDG00000087,20001,2026-01-30,2026-02-03,JPY,0.00,347408.67,Deposit received,REF52272760,perfect
LDG00000088,10002,2026-02-07,2026-02-09,AUD,273442.17,0.00,Insurance premium payment,REF87015674,perfect
LDG00000089,60001,2026-02-15,2026-02-17,GBP,0.00,154819.77,Refund received,REF77872933,perfect
LDG00000090,50001,2026-02-01,2026-02-01,GBP,0.00,394170.75,Invoice payment INV-3454,REF91191590,perfect
LDG00000091,60001,2026-02-16,2026-02-16,AUD,465125.15,0.00,Interest expense,REF89495886,perfect
LDG00000092,30001,2026-03-12,2026-03-16,JPY,84292.67,0.00,Wire transfer outbound,REF71974501,perfect
LDG00000093,60001,2026-01-27,2026-01-29,CAD,0.00,490638.21,Grant proceeds,REF53740816,perfect
LDG00000094,20001,2026-03-27,2026-03-31,GBP,312832.98,0.00,Tax remittance,REF79776142,perfect
LDG00000095,10002,2026-03-28,2026-03-28,CHF,261473.26,0.00,Tax remittance,REF59280695,perfect
LDG00000096,40001,2026-01-24,2026-01-27,JPY,72405.30,0.00,Utility payment,REF48895619,perfect
LDG00000097,50001,2026-01-07,2026-01-09,EUR,0.00,463353.20,Loan drawdown,REF65097058,perfect
LDG00000098,10002,2026-01-14,2026-01-15,JPY,0.00,246951.10,Payroll funding,REF72522473,perfect
LDG00000099,20002,2026-02-20,2026-02-23,JPY,0.00,149870.56,Sales proceeds,REF17077020,perfect
LDG00000100,70001,2026-02-19,2026-02-20,EUR,0.00,431660.90,Intercompany transfer in,REF47180982,perfect
LDG00000101,20002,2026-03-07,2026-03-09,JPY,0.00,150872.76,Customer advance payment,REF52024102,perfect
LDG00000102,10002,2026-02-26,2026-02-27,CAD,0.00,346205.98,Customer payment received,REF11015539,perfect
