TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000001,20002,2026-03-16,2026-03-16,JPY,93060.68,0.00,Commission expense,REF87148913,oneToMany
LDG00000002,20002,2026-02-23,2026-02-23,EUR,0.00,420055.79,Loan drawdown,REF11377901,oneToMany
LDG00000003,10001,2026-02-09,2026-02-11,USD,0.00,340639.80,Loan drawdown,REF25588271,oneToMany
LDG00000004,10001,2026-02-09,2026-02-11,CHF,158364.34,0.00,ACH debit settlement,REF64824936,oneToMany
LDG00000005,20001,2026-03-04,2026-03-04,GBP,0.00,364112.92,Commission income,REF43762550,oneToMany
LDG00000006,40002,2026-03-28,2026-03-30,CHF,0.00,476070.30,ACH credit settlement,REF82759257,oneToMany
LDG00000007,20001,2026-01-21,2026-01-22,EUR,168058.19,0.00,Tax remittance,REF65771686,oneToMany
LDG00000008,10002,2026-03-17,2026-03-19,CHF,0.00,146252.27,Wire transfer inbound,REF75079045,oneToMany
LDG00000009,50001,2026-03-02,2026-03-02,GBP,0.00,31401.07,Invoice payment INV-3541,REF63087022,oneToMany
LDG00000010,10001,2026-02-02,2026-02-02,AUD,175190.11,0.00,Invoice payment to vendor,REF10503048,oneToMany
LDG00000011,20001,2026-03-28,2026-03-28,CAD,0.00,208954.91,SEPA credit transfer,REF84741387,oneToMany
LDG00000012,60001,2026-03-06,2026-03-09,CAD,168544.24,0.00,Tax remittance,REF31031467,oneToMany
LDG00000013,40001,2026-01-21,2026-01-23,JPY,412458.10,0.00,Loan repayment,REF75199084,oneToMany
LDG00000014,40001,2026-02-14,2026-02-14,GBP,420744.80,0.00,FX contract payment,REF42527708,oneToMany
LDG00000015,20001,2026-02-19,2026-02-20,JPY,0.00,372288.99,Interest credit,REF69661504,oneToMany
LDG00000016,40002,2026-03-15,2026-03-16,CAD,0.00,145934.42,SEPA credit transfer,REF97057065,oneToMany
LDG00000017,60001,2026-01-22,2026-01-22,AUD,0.00,247644.40,Trade settlement receipt,REF61418453,oneToMany
LDG00000018,40001,2026-03-08,2026-03-10,EUR,323333.48,0.00,Tax remittance,REF65974111,oneToMany
LDG00000019,60001,2026-03-20,2026-03-24,GBP,0.00,263712.99,Trade settlement receipt,REF20171698,oneToMany
LDG00000020,10001,2026-01-25,2026-01-27,GBP,227516.23,0.00,Service fee payment,REF68532489,oneToMany
LDG00000021,10002,2026-03-03,2026-03-05,JPY,0.00,299253.65,FX contract settlement,REF90017812,oneToMany
LDG00000022,20002,2026-01-17,2026-01-20,AUD,265962.76,0.00,Loan repayment,REF57276893,oneToMany
LDG00000023,20002,2026-02-27,2026-03-03,EUR,271783.04,0.00,Tax remittance,REF72833284,oneToMany
LDG00000024,50001,2026-02-01,2026-02-01,AUD,265046.58,0.00,Rent payment,REF56996174,oneToMany
LDG00000025,20002,2026-01-25,2026-01-26,USD,465496.51,0.00,Utility payment,REF74512276,oneToMany
LDG00000026,20002,2026-01-13,2026-01-13,GBP,0.00,146431.52,Payroll funding,REF46814278,oneToMany
LDG00000027,40001,2026-03-21,2026-03-23,JPY,0.00,224816.39,SEPA credit transfer,REF57531431,oneToMany
LDG00000028,50001,2026-03-03,2026-03-03,CHF,0.00,465053.01,SEPA credit transfer,REF48372879,oneToMany
LDG00000029,30001,2026-02-28,2026-03-02,CHF,0.00,213425.83,Payroll funding,REF24455815,oneToMany
LDG00000030,30001,2026-03-28,2026-03-31,AUD,0.00,244658.23,Invoice payment INV-1965,REF80730993,oneToMany
LDG00000031,10002,2026-03-22,2026-03-24,CAD,0.00,197608.41,Wire transfer inbound,REF26889495,oneToMany
LDG00000032,20002,2026-01-24,2026-01-26,CAD,93248.40,0.00,Wire transfer outbound,REF73043515,oneToMany
LDG00000033,20002,2026-01-27,2026-01-27,EUR,227630.39,0.00,Invoice payment to vendor,REF99329520,oneToMany
