TxnID,GLAccount,CostCenter,TxnDate,PostDate,FiscalYear,Period,Currency,DebitAmount,CreditAmount,NetAmount,DocumentType,CompanyCode,Description,Reference,MatchType
LDG00000001,40001,CC-5000,2026-01-12,2026-01-14,2026,01,EUR,307967.69,0.00,-307967.69,KZ,DECO,Bond redemption,REF55563720,perfect
LDG00000002,40001,CC-2000,2026-03-11,2026-03-11,2026,03,AUD,459073.94,0.00,-459073.94,KZ,1000,Rent payment,REF68087285,perfect
LDG00000003,20002,CC-3100,2026-01-24,2026-01-24,2026,01,USD,258842.81,0.00,-258842.81,SA,AUCO,Interest expense,REF85916991,perfect
LDG00000004,20002,CC-1000,2026-01-21,2026-01-23,2026,01,AUD,287053.41,0.00,-287053.41,SA,USCO,Payroll disbursement,REF96117243,perfect
LDG00000005,30001,CC-3000,2026-01-04,2026-01-05,2026,01,JPY,52425.63,0.00,-52425.63,WA,AUCO,Equipment purchase,REF11819731,perfect
LDG00000006,50001,CC-1000,2026-02-22,2026-02-24,2026,02,JPY,407685.14,0.00,-407685.14,AB,FRCO,Loan repayment,REF12249177,perfect
LDG00000007,50001,CC-4000,2026-02-26,2026-03-02,2026,02,EUR,406906.01,0.00,-406906.01,AB,DECO,Bond redemption,REF80664588,perfect
LDG00000008,40002,CC-2000,2026-03-16,2026-03-17,2026,03,JPY,208749.43,0.00,-208749.43,RE,1000,Tax remittance,REF33791592,perfect
LDG00000009,70001,CC-1100,2026-01-11,2026-01-11,2026,01,CHF,322699.62,0.00,-322699.62,SA,USCO,Interest expense,REF52448824,perfect
LDG00000010,40002,CC-3100,2026-02-16,2026-02-18,2026,02,CHF,0.00,81784.45,81784.45,ZP,DECO,Dividend income,REF11617727,perfect
LDG00000011,30001,CC-2000,2026-03-14,2026-03-17,2026,03,JPY,124838.76,0.00,-124838.76,KR,FRCO,Payroll disbursement,REF30428937,perfect
LDG00000012,30001,CC-5000,2026-01-18,2026-01-18,2026,01,CAD,377428.45,0.00,-377428.45,SA,AUCO,Rent payment,REF53088074,perfect
LDG00000013,20002,CC-5000,2026-03-17,2026-03-17,2026,03,CHF,0.00,129389.77,129389.77,KZ,USCO,Bond coupon payment,REF79465362,perfect
LDG00000014,10001,CC-1000,2026-02-25,2026-02-27,2026,02,USD,349978.71,0.00,-349978.71,KR,AUCO,SEPA direct debit,REF19629551,perfect
LDG00000015,40002,CC-4000,2026-03-15,2026-03-15,2026,03,AUD,0.00,256448.34,256448.34,RE,1000,Grant proceeds,REF82672280,perfect
LDG00000016,10001,CC-4000,2026-01-02,2026-01-05,2026,01,GBP,0.00,342911.75,342911.75,AB,3000,Interest credit,REF91719099,perfect
LDG00000017,60001,CC-3100,2026-02-21,2026-02-21,2026,02,CHF,136969.37,0.00,-136969.37,KZ,DECO,Bond redemption,REF93448208,perfect
LDG00000018,50001,CC-2000,2026-02-13,2026-02-16,2026,02,JPY,469771.73,0.00,-469771.73,KZ,DECO,Wire transfer outbound,REF91815064,perfect
LDG00000019,10002,CC-2000,2026-02-07,2026-02-07,2026,02,GBP,479660.73,0.00,-479660.73,WA,2000,Commission expense,REF44263035,perfect
LDG00000020,40001,CC-4000,2026-02-23,2026-02-25,2026,02,CAD,191697.88,0.00,-191697.88,KR,DECO,Trade settlement payment,REF96195103,perfect
LDG00000021,30001,CC-2000,2026-02-01,2026-02-01,2026,02,AUD,0.00,121877.63,121877.63,DR,2000,Sales proceeds,REF13669161,perfect
LDG00000022,40001,CC-2000,2026-02-13,2026-02-13,2026,02,JPY,294926.31,0.00,-294926.31,AB,GBCO,Trade settlement payment,REF67129133,perfect
LDG00000023,70001,CC-2100,2026-03-17,2026-03-17,2026,03,CHF,127993.06,0.00,-127993.06,WA,FRCO,Utility payment,REF44494417,perfect
LDG00000024,10001,CC-2000,2026-03-05,2026-03-05,2026,03,AUD,0.00,408012.42,408012.42,SA,USCO,ACH credit settlement,REF76609770,perfect
LDG00000025,20001,CC-2000,2026-02-25,2026-02-27,2026,02,USD,0.00,32082.44,32082.44,SA,2000,Trade settlement receipt,REF11726106,perfect
LDG00000026,40001,CC-1000,2026-02-22,2026-02-22,2026,02,GBP,0.00,259133.70,259133.70,RE,2000,Sales proceeds,REF12074929,perfect
LDG00000027,50001,CC-2000,2026-02-04,2026-02-05,2026,02,USD,286213.48,0.00,-286213.48,AB,DECO,Bond redemption,REF71844812,perfect
LDG00000028,40001,CC-3100,2026-01-09,2026-01-12,2026,01,GBP,0.00,291612.35,291612.35,DZ,GBCO,Customer payment received,REF12107517,perfect
LDG00000029,20002,CC-1100,2026-01-12,2026-01-13,2026,01,GBP,257130.04,0.00,-257130.04,RE,DECO,Wire transfer outbound,REF33907406,perfect
LDG00000030,30001,CC-5000,2026-01-06,2026-01-06,2026,01,CAD,273329.92,0.00,-273329.92,ZP,DECO,Service fee payment,REF30413547,perfect
